identity,userID,passwordHash,salt,status
"Staff","sng001","b12c6c543f9ef38bdeaf05afb5b5fe6737b8b30d23c8688bb75667b5798c2dbc","2OhaIx-jB5YZTemAHhZuYg",""
"Staff","tan002","0534187ff05ba95a5d8052ed2d6432d954e802a5b0eb5128cac87d428e47c81a","HW7fGd01GrMDdnKSI7P_Ug",""
"Staff","lee003","63835d05a35e641cab5a7b1c50fc1691163d03b57fc3c3554d228185ba09e167","5UkJQ9lnD-l_EWlySVCzsA",""
"Student","U2310001A","fbc8acd120d46a505f07b9b6ae6e327179b87fafa99692004b63ae356816b2e8","5ZHkwwjybU4hs8mQyMzRkg",""
"Student","U2310002B","e68bc4ae80575fc59c28ae129fe84a160b1bc23aa193eac63566f3a68baed0d5","uHTIa82q60gkguS8QmjoTA",""
"Student","U2310003C","9278e6591fee08cd94520e079ba4be07f733858240aabceed4430a7f50ebd0b0","DJvCI8aLdp36on17rRb4Cw",""
"Student","U2310004D","f49ed8cf512a70e3778b049c2b85e60fd341f026e70ad9d26f8ca464bf4dc469","LTfU6swk7Zwn17lyqWPHvw",""
"Student","U2310005E","4d4b7c502c80754cb92aff15c5cf522183f401c77d03ac741cb347ba482689da","olyQvCUNDkDZ_2geuLFl7Q",""
"CompanyRepresentative","example_comp_mail@mail.com","5e3484df1530f0744073a7843a808750aff1aa5e8d1f596bdc5875df38353dec","9XedY8TRV1LcXc2ywc92Eg","approved"
"CompanyRepresentative","NewComp@gmail.com","ed89fa672c27a7da992c9dcd57c9896c331905725c0259307612aa3a28ab9ecf","Um1olK0Aiqdg5bBQXEIcJw","approved"
"CompanyRepresentative","NewComp2@gmail.com","b6278d13d0349385e4d753503a225935279b1c150bb974fd10ef63d12751fc7d","5Hh9zdXKapAuB1YFP78kwQ","approved"
