identity,userID,passwordHash,salt,status
"Staff","sng001","b12c6c543f9ef38bdeaf05afb5b5fe6737b8b30d23c8688bb75667b5798c2dbc","2OhaIx-jB5YZTemAHhZuYg",""
"Student","U2310001A","fbc8acd120d46a505f07b9b6ae6e327179b87fafa99692004b63ae356816b2e8","5ZHkwwjybU4hs8mQyMzRkg",""
"Student","U2310002B","e68bc4ae80575fc59c28ae129fe84a160b1bc23aa193eac63566f3a68baed0d5","uHTIa82q60gkguS8QmjoTA",""
"Student","U2310003C","9278e6591fee08cd94520e079ba4be07f733858240aabceed4430a7f50ebd0b0","DJvCI8aLdp36on17rRb4Cw",""
"Student","U2310004D","f49ed8cf512a70e3778b049c2b85e60fd341f026e70ad9d26f8ca464bf4dc469","LTfU6swk7Zwn17lyqWPHvw",""
"Student","U2310005E","4d4b7c502c80754cb92aff15c5cf522183f401c77d03ac741cb347ba482689da","olyQvCUNDkDZ_2geuLFl7Q",""
"CompanyRepresentative","NewComp@gmail.com","fe08539dacbc502b12f0d811b4a8a728cc5df23d511fe1dc8ee01b4285f4deea","jdqHWlXf_CpJEX0eo4m_2A","approved"
"CompanyRepresentative","NewComp2@gmail.com","ae9073808e92c8a979456bb8b5c37e73c84710fba5caafb42637fb6e731a65a7","MudxVlsGY2xaLNZuyK2cYw","approved"
"CompanyRepresentative","NewComp3@gmail.com","63835d05a35e641cab5a7b1c50fc1691163d03b57fc3c3554d228185ba09e167","5UkJQ9lnD-l_EWlySVCzsA","approved"
"CompanyRepresentative","comp1@a.com","b195759a82fba685c7243b39876a42e7b1e00df9cd5a3e190055ffcea3bf0637","3SxbCbJ2w_KyCmV5MxZpbQ","approved"
"CompanyRepresentative","comp2@a.com","ca8a72deeb04f407c3a4cb5869e102d85395055e400d93b7d605d8bab1228540","hrMYtWlcOeOyoYyxjt2aig","pending"
